06.15 15:02:16.148 | 信息 - 任务=1，信息=开始编译
06.15 15:02:16.149 | 信息 - 任务=1，信息=结束编译
06.15 15:02:16.149 | 信息 - 任务=1，信息=开始运行
06.15 15:02:16.158 | 信息 - 任务=1，信息=结束运行
06.15 15:14:30.441 | 信息 - 正常退出
06.15 22:18:23.259 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.15 22:18:23.259 | 信息 - 任务=1，信息=开始编译
06.15 22:18:23.259 | 信息 - 任务=1，信息=结束编译
06.15 22:18:23.259 | 信息 - 任务=1，信息=开始运行
06.15 22:18:23.268 | 信息 - 任务=1，信息=结束运行
06.15 22:25:17.775 | 信息 - ------ 开始编译 ------
06.15 22:25:17.775 | 信息 - ------ 开始编译 ------
06.15 22:25:17.777 | 信息 - ------ 编译成功 ------
06.15 22:25:17.777 | 信息 - Linked 'cyzs'
06.15 22:25:17.777 | 信息 - ------ 编译成功 ------
06.15 22:25:25.003 | 信息 - ------ 开始编译 ------
06.15 22:25:25.003 | 信息 - No change
06.15 22:25:25.004 | 信息 - ------ 开始编译 ------
06.15 22:25:25.004 | 信息 - [C:\dzh365\cfg\script\116\cyzs.ds] No change
06.15 22:25:25.004 | 信息 - ------ 编译成功 ------
06.15 22:25:25.004 | 信息 - Linked 'cyzs'
06.15 22:25:25.004 | 信息 - ------ 编译成功 ------
06.15 22:59:06.381 | 信息 - 正常退出
06.16 09:18:25.892 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.16 09:18:25.892 | 信息 - 任务=1，信息=开始编译
06.16 09:18:25.892 | 信息 - 任务=1，信息=结束编译
06.16 09:18:25.892 | 信息 - 任务=1，信息=开始运行
06.16 09:18:25.907 | 信息 - 任务=1，信息=结束运行
06.16 15:02:56.646 | 信息 - 正常退出
06.16 21:54:44.280 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.16 21:54:44.280 | 信息 - 任务=1，信息=开始编译
06.16 21:54:44.281 | 信息 - 任务=1，信息=结束编译
06.16 21:54:44.281 | 信息 - 任务=1，信息=开始运行
06.16 21:54:44.289 | 信息 - 任务=1，信息=结束运行
06.16 22:34:22.354 | 信息 - 正常退出
06.16 22:34:26.789 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.16 22:34:26.789 | 信息 - 任务=1，信息=开始编译
06.16 22:34:26.790 | 信息 - 任务=1，信息=结束编译
06.16 22:34:26.790 | 信息 - 任务=1，信息=开始运行
06.16 22:34:26.798 | 信息 - 任务=1，信息=结束运行
06.16 23:02:00.245 | 信息 - 正常退出
06.16 23:02:01.434 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.16 23:02:01.434 | 信息 - 任务=1，信息=开始编译
06.16 23:02:01.435 | 信息 - 任务=1，信息=结束编译
06.16 23:02:01.435 | 信息 - 任务=1，信息=开始运行
06.16 23:02:01.444 | 信息 - 任务=1，信息=结束运行
06.17 09:09:34.881 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.17 09:09:34.881 | 信息 - 任务=1，信息=开始编译
06.17 09:09:34.881 | 信息 - 任务=1，信息=结束编译
06.17 09:09:34.881 | 信息 - 任务=1，信息=开始运行
06.17 09:09:34.897 | 信息 - 任务=1，信息=结束运行
06.18 17:37:09.799 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.18 17:37:09.799 | 信息 - 任务=1，信息=开始编译
06.18 17:37:09.800 | 信息 - 任务=1，信息=结束编译
06.18 17:37:09.800 | 信息 - 任务=1，信息=开始运行
06.18 17:37:09.813 | 信息 - 任务=1，信息=结束运行
06.18 17:44:42.133 | 信息 - 正常退出
06.18 17:45:07.911 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.18 17:45:07.911 | 信息 - 任务=1，信息=开始编译
06.18 17:45:07.912 | 信息 - 任务=1，信息=结束编译
06.18 17:45:07.912 | 信息 - 任务=1，信息=开始运行
06.18 17:45:07.921 | 信息 - 任务=1，信息=结束运行
06.18 22:54:28.372 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.18 22:54:28.372 | 信息 - 任务=1，信息=开始编译
06.18 22:54:28.372 | 信息 - 任务=1，信息=结束编译
06.18 22:54:28.372 | 信息 - 任务=1，信息=开始运行
06.18 22:54:28.382 | 信息 - 任务=1，信息=结束运行
06.19 13:15:11.448 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 13:15:11.448 | 信息 - 任务=1，信息=开始编译
06.19 13:15:11.448 | 信息 - 任务=1，信息=结束编译
06.19 13:15:11.448 | 信息 - 任务=1，信息=开始运行
06.19 13:15:11.464 | 信息 - 任务=1，信息=结束运行
06.19 13:30:07.406 | 信息 - 正常退出
06.19 13:30:10.020 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 13:30:10.020 | 信息 - 任务=1，信息=开始编译
06.19 13:30:10.021 | 信息 - 任务=1，信息=结束编译
